id,name,email,age,signup_date
0c4d05d5-f999-4d49-bd57-46a20ae91061,Shannon Davis,danielsmark@example.org,48,2020-06-02
203aa8d6-b11a-4ded-9230-54afffdf8a10,Shawn Mcintyre,michael61@example.net,45,2023-09-25
84c36077-d9fc-4903-8f66-96cd738d2f50,Leslie Powell,smithjames@example.com,45,2021-05-18
2ed4c701-6837-406d-98cd-3b581e858191,Anna Davis,mitchellkim@example.net,59,2022-01-17
186073eb-f747-441a-bee5-dbc0d2b2c7e0,Deborah Lee,,59,2020-06-27
cfb4deb5-1253-42c3-8d3a-05e8e3d533d0,Michelle Jones,john79@example.net,41,2022-11-04
f61fc5b1-83cc-4f02-b1c6-a69bc2cb8b6b,Frank West,jeffreyjohns@example.org,31,2020-09-16
bfdbf9bd-9976-4bc1-946b-3dfb8bc82621,Christopher Lane,xgutierrez@example.net,31,2024-04-14
6a274907-2d6e-4bf3-8fa5-7d0e9c08ebe4,Jeffrey Carroll,markdeleon@example.com,34,2022-10-08
449b7c5a-0757-4f76-92de-cd890296ad84,Elizabeth Jones,herrerasamantha@example.com,53,2023-02-19
9825767b-433d-43c9-bbe4-283befed7bd8,Sherry Cox,cooktaylor@example.org,71,2022-05-22
72b71075-79ac-4ad0-ad44-6fd5b8641309,Ryan Carter,john16@example.com,24,2020-08-18
633956e9-ef13-4722-bc64-38981919e69c,Devin Morgan Jr.,davidgillespie@example.com,40,2021-06-07
d4819555-bcd1-420d-a16c-c7635534a321,Sarah Chapman,kpace@example.com,69,2023-06-13
77f11ad4-bd69-4515-90cc-f418214f52fb,Melissa Johnson,mosleyjohn@example.org,68,2023-08-05
626681dc-082b-4bf9-a0a6-246eee997ab0,Hayley Price DVM,barberhunter@example.com,62,2023-03-17
ec4651dc-9000-4e61-97e3-b676000e40d0,Brandi Owens,ecastr@oexample.org,40,2024-05-21
4e913bd9-7314-44f7-b10b-80d1936cfd80,Terri Bright,shaun01@example.org,33,2024-12-12
e54e7185-1b96-4869-a691-a6b5f43b4073,Phyllis Newton,jennifer28@example.org,62,2023-06-26
cdb6b719-4640-4cf7-8d81-3a45e36ebbd0,Ashley Silva,hernandezmary@example.net,67,2023-08-07
9b849062-64eb-4bcd-b0bf-2c00ada89fa7,Leslie Miller,meganbates@example.org,38,2022-01-24
f8e1744f-205d-4037-ac16-e8608544969c,Dan Baker,ywolfe@example.org,50,2021-08-26
38047dc9-0da0-4e61-bd45-ea2d6aeb6b9e,Amber Salinas,lisathompson@example.com,49,2024-07-22
77eab509-78e1-4a8e-b847-2891e5ee5a13,James Robinson,brian19@example.com,75,2022-08-27
448cdf1a-c2f1-481d-902c-3a6b56659508,William Bailey,fterrell@example.net,52,2024-04-27
02ca646d-002b-4e67-9e7f-bd42b27bddf4,Brandy Gonzalez,smoran@example.org,69,2022-10-13
53ffc633-8f78-4e8d-8464-25b872d7aaa9,Anthony Thompson,qflores@example.net,19,2022-09-08
eca90f74-3848-4099-85b0-532a9ae00022,Beth Bolton,lynn56@example.org,66,2020-03-31
6c9168b3-970d-4963-a01c-c2f0a75196b6,Leslie Estrada,owalter@example.net,46,2024-03-25
c1269930-eef0-4af9-b196-efcb2febe932,Paul Morris,gsparks@example.com,52,2022-12-25
ad2c6b09-a24f-445d-9624-ec75e2ac0fba,Scott Harris,wmorgan@example.org,79,2024-02-04
7bc87192-a3dd-4ead-a375-65ff398b32b3,Jason Duran,thompsonchristopher@example.org,29,2024-02-18
7307ce88-419a-43e0-a60f-67e68b635481,Derek Martinez,matthew76@example.net,68,2021-10-07
